UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 Jan16 ?        00:00:19 /lib/systemd/systemd splash --system --deserialize 48
root           2       0  0 Jan16 ?        00:00:00 [kthreadd]
root           3       2  0 Jan16 ?        00:00:00 [rcu_gp]
root           4       2  0 Jan16 ?        00:00:00 [rcu_par_gp]
root           6       2  0 Jan16 ?        00:00:00 [kworker/0:0H-events_highpri]
root           9       2  0 Jan16 ?        00:00:00 [mm_percpu_wq]
root          10       2  0 Jan16 ?        00:00:00 [rcu_tasks_rude_]
root          11       2  0 Jan16 ?        00:00:00 [rcu_tasks_trace]
root          12       2  0 Jan16 ?        00:00:00 [ksoftirqd/0]
root          13       2  0 Jan16 ?        00:01:02 [rcu_sched]
root          14       2  0 Jan16 ?        00:00:00 [migration/0]
root          15       2  0 Jan16 ?        00:00:00 [idle_inject/0]
root          16       2  0 Jan16 ?        00:00:00 [cpuhp/0]
root          17       2  0 Jan16 ?        00:00:00 [cpuhp/1]
root          18       2  0 Jan16 ?        00:00:00 [idle_inject/1]
root          19       2  0 Jan16 ?        00:00:00 [migration/1]
root          20       2  0 Jan16 ?        00:00:00 [ksoftirqd/1]
root          22       2  0 Jan16 ?        00:00:00 [kworker/1:0H-events_highpri]
root          23       2  0 Jan16 ?        00:00:00 [cpuhp/2]
root          24       2  0 Jan16 ?        00:00:00 [idle_inject/2]
root          25       2  0 Jan16 ?        00:00:00 [migration/2]
root          26       2  0 Jan16 ?        00:00:00 [ksoftirqd/2]
root          28       2  0 Jan16 ?        00:00:00 [kworker/2:0H-events_highpri]
root          29       2  0 Jan16 ?        00:00:00 [cpuhp/3]
root          30       2  0 Jan16 ?        00:00:00 [idle_inject/3]
root          31       2  0 Jan16 ?        00:00:00 [migration/3]
root          32       2  0 Jan16 ?        00:00:00 [ksoftirqd/3]
root          34       2  0 Jan16 ?        00:00:00 [kworker/3:0H-events_highpri]
root          35       2  0 Jan16 ?        00:00:00 [cpuhp/4]
root          36       2  0 Jan16 ?        00:00:00 [idle_inject/4]
root          37       2  0 Jan16 ?        00:00:00 [migration/4]
root          38       2  0 Jan16 ?        00:00:00 [ksoftirqd/4]
root          40       2  0 Jan16 ?        00:00:00 [kworker/4:0H-events_highpri]
root          41       2  0 Jan16 ?        00:00:00 [cpuhp/5]
root          42       2  0 Jan16 ?        00:00:00 [idle_inject/5]
root          43       2  0 Jan16 ?        00:00:00 [migration/5]
root          44       2  0 Jan16 ?        00:00:00 [ksoftirqd/5]
root          46       2  0 Jan16 ?        00:00:00 [kworker/5:0H-events_highpri]
root          47       2  0 Jan16 ?        00:00:00 [cpuhp/6]
root          48       2  0 Jan16 ?        00:00:00 [idle_inject/6]
root          49       2  0 Jan16 ?        00:00:00 [migration/6]
root          50       2  0 Jan16 ?        00:00:00 [ksoftirqd/6]
root          52       2  0 Jan16 ?        00:00:00 [kworker/6:0H-events_highpri]
root          53       2  0 Jan16 ?        00:00:00 [cpuhp/7]
root          54       2  0 Jan16 ?        00:00:00 [idle_inject/7]
root          55       2  0 Jan16 ?        00:00:00 [migration/7]
root          56       2  0 Jan16 ?        00:00:00 [ksoftirqd/7]
root          58       2  0 Jan16 ?        00:00:00 [kworker/7:0H-events_highpri]
root          59       2  0 Jan16 ?        00:00:00 [kdevtmpfs]
root          60       2  0 Jan16 ?        00:00:00 [netns]
root          61       2  0 Jan16 ?        00:00:00 [inet_frag_wq]
root          62       2  0 Jan16 ?        00:00:00 [kauditd]
root          63       2  0 Jan16 ?        00:00:00 [khungtaskd]
root          64       2  0 Jan16 ?        00:00:00 [oom_reaper]
root          65       2  0 Jan16 ?        00:00:00 [writeback]
root          66       2  0 Jan16 ?        00:00:04 [kcompactd0]
root          67       2  0 Jan16 ?        00:00:00 [ksmd]
root          68       2  0 Jan16 ?        00:00:00 [khugepaged]
root          75       2  0 Jan16 ?        00:00:02 [kworker/5:1-events]
root         115       2  0 Jan16 ?        00:00:00 [kintegrityd]
root         116       2  0 Jan16 ?        00:00:00 [kblockd]
root         117       2  0 Jan16 ?        00:00:00 [blkcg_punt_bio]
root         118       2  0 Jan16 ?        00:00:00 [tpm_dev_wq]
root         119       2  0 Jan16 ?        00:00:00 [ata_sff]
root         120       2  0 Jan16 ?        00:00:00 [md]
root         121       2  0 Jan16 ?        00:00:00 [edac-poller]
root         122       2  0 Jan16 ?        00:00:00 [devfreq_wq]
root         123       2  0 Jan16 ?        00:00:00 [watchdogd]
root         126       2  0 Jan16 ?        00:00:02 [kworker/0:1H-kblockd]
root         129       2  0 Jan16 ?        00:00:00 [kswapd0]
root         130       2  0 Jan16 ?        00:00:00 [ecryptfs-kthrea]
root         132       2  0 Jan16 ?        00:00:00 [kthrotld]
root         134       2  0 Jan16 ?        00:00:00 [acpi_thermal_pm]
root         136       2  0 Jan16 ?        00:00:00 [vfio-irqfd-clea]
root         138       2  0 Jan16 ?        00:00:00 [mld]
root         139       2  0 Jan16 ?        00:00:01 [kworker/4:1H-kblockd]
root         140       2  0 Jan16 ?        00:00:00 [ipv6_addrconf]
root         151       2  0 Jan16 ?        00:00:00 [kstrp]
root         155       2  0 Jan16 ?        00:00:00 [zswap-shrink]
root         157       2  0 Jan16 ?        00:00:00 [kworker/u17:0]
root         164       2  0 Jan16 ?        00:00:00 [charger_manager]
root         209       2  0 Jan16 ?        00:00:00 [kworker/7:1H-kblockd]
root         212       2  0 Jan16 ?        00:00:00 [hv_vmbus_con]
root         213       2  0 Jan16 ?        00:00:00 [hv_pri_chan]
root         214       2  0 Jan16 ?        00:00:00 [hv_sub_chan]
root         218       2  0 Jan16 ?        00:00:00 [scsi_eh_0]
root         219       2  0 Jan16 ?        00:00:00 [scsi_tmf_0]
root         220       2  0 Jan16 ?        00:00:00 [storvsc_error_w]
root         224       2  0 Jan16 ?        00:00:00 [kworker/5:1H-kblockd]
root         225       2  0 Jan16 ?        00:00:00 [kworker/3:1H-kblockd]
root         226       2  0 Jan16 ?        00:00:03 [kworker/2:1H-kblockd]
root         243       2  0 Jan16 ?        00:00:11 [jbd2/sda1-8]
root         244       2  0 Jan16 ?        00:00:00 [ext4-rsv-conver]
root         249       2  0 Jan16 ?        00:00:00 [kworker/6:1H-kblockd]
root         251       2  0 Jan16 ?        00:00:00 [kworker/1:1H-kblockd]
root         314       2  0 Jan16 ?        00:00:00 [ipmi-msghandler]
root         358       2  0 Jan16 ?        00:00:03 [hv_balloon]
root         394       2  0 Jan16 ?        00:00:00 [cryptd]
message+     452       1  0 Jan16 ?        00:00:10 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         573       1  0 Jan16 ?        00:00:03 /lib/systemd/systemd-logind
root         599       1  0 Jan16 ?        00:00:07 /usr/libexec/polkitd --no-debug
root         752       1  0 Jan16 ?        00:00:00 /usr/libexec/udisks2/udisksd
root         816       1  0 Jan16 ?        00:00:00 /usr/libexec/power-profiles-daemon
avahi        850       1  0 Jan16 ?        00:00:01 avahi-daemon: running [linux.local]
avahi        851     850  0 Jan16 ?        00:00:00 avahi-daemon: chroot helper
root         853       1  0 Jan16 ?        00:00:00 /usr/sbin/ModemManager
root        3483       2  0 Jan16 ?        00:00:00 [xfsalloc]
root        3484       2  0 Jan16 ?        00:00:00 [xfs_mru_cache]
root        3487       2  0 Jan16 ?        00:00:00 [jfsIO]
root        3488       2  0 Jan16 ?        00:00:00 [jfsCommit]
root        3489       2  0 Jan16 ?        00:00:00 [jfsCommit]
root        3490       2  0 Jan16 ?        00:00:00 [jfsCommit]
root        3491       2  0 Jan16 ?        00:00:00 [jfsCommit]
root        3492       2  0 Jan16 ?        00:00:00 [jfsCommit]
root        3493       2  0 Jan16 ?        00:00:00 [jfsCommit]
root        3494       2  0 Jan16 ?        00:00:00 [jfsCommit]
root        3495       2  0 Jan16 ?        00:00:00 [jfsCommit]
root        3496       2  0 Jan16 ?        00:00:00 [jfsSync]
root       25620       1  0 Jan16 ?        00:00:00 /usr/sbin/cron -f -P
root       25638       1  0 Jan16 ?        00:00:02 /usr/sbin/irqbalance --foreground
root       25657       1  0 Jan16 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root       25665       1  0 Jan16 ?        00:00:00 /usr/libexec/switcheroo-control
root       25667       1  0 Jan16 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
kernoops   25708       1  0 Jan16 ?        00:00:00 /usr/sbin/kerneloops --test
root       25716       1  0 Jan16 ?        00:00:00 /usr/sbin/xrdp-sesman
root       25717       1  0 Jan16 ?        00:00:00 /usr/sbin/acpid
